"Accession","Family","Genus","Country","State","County","Locality","Date","Collector"
9038581,"Telemidae","Usofila","USA","California","Mariposa","Bull Creek Cave, 11 mi. E of Coulterville","7/4/1979","DC Rudolph, B Martin, S Winterath, D Cowan, T Lakner"
9038582,"Telemidae","Usofila","USA","California","Mariposa","6 mi S Mather","4/9/1958","V Roth"
9038583,"Telemidae","Usofila","USA","California","Mariposa","Mariposa","4/4/1953","R Schuster"
9038584,"Telemidae","Usofila","USA","California","Mariposa","Mariposa","4/4/1953","R Schuster"
9038585,"Telemidae","Usofila","USA","California","Mariposa","Mariposa","4/4/1953","R Schuster"
