Compound	Compound.Original.ID	m.z	RT..min.	High.Confidence.Annotation	HMDB	KEGG
kynurenic acid	4833	190.0497	5.4	TRUE	HMDB0000715	C01717
lactate	7778	89.0227608327148	3.94	TRUE	HMDB0000190	C00186
lactose	3466	341.108864325194	2.55	TRUE	HMDB0000186	C00243
leucine	TF5	132.1019	7.1	TRUE	HMDB0000687	C00123
Linoleic acid	14913	279.2336	12.05	TRUE	HMDB0000673	C01595
lithocholate	7316	375.290391586355	3.82	FALSE	HMDB0000761	C03990
Lithocholic acid	13035	375.2907	10.45	FALSE	HMDB0000761	C03990
lysine	9134	147.1127	9.6	TRUE	HMDB0000182	C00047
malate	12607	133.012918467311	7.17	TRUE	HMDB0000156	C00149
methionine	TF3	150.0583	7.19	TRUE	HMDB0000696	C00073
methionine sulfoxide	TF21	166.0532	8.84	TRUE	HMDB0002005	C02989
Myristic acid	14299	227.2016	11.52	TRUE	HMDB0000806	C06424
Myristoleic acid	TF2	225.1849	7.9	TRUE	HMDB0002000	C08322
N-carbamoyl-beta-alanine	3855	133.0608	4.35	TRUE	HMDB0000026	C02642
niacinamide	TF13	123.0553	3.91	TRUE	HMDB0001406	C00153
nicotinate	8217	122.023354450268	4.07	TRUE	HMDB0001488	C00253
NMMA	9127	189.1346	9.59	TRUE	HMDB0029416	C03884
Oleic acid	15694	281.2494	12.75	TRUE	HMDB0000207	C00712
ornithine	9082	133.0972	9.51	TRUE	HMDB0000214	C00077
orotate	9323	155.00811636824	4.54	TRUE	HMDB0000226	C00295
Palmitic acid	15473	255.2333	12.58	TRUE	HMDB0000220	C00249
Palmitoleic acid	14531	253.2176	11.77	TRUE	HMDB0003229	C08362
pantothenate	7915	218.102676668502	3.98	TRUE	HMDB0000210	C00864
PGE2	TF3	351.2166	3.55	TRUE	HMDB0001220	C00584
PGE2-d4 (IS)	6743	355.2435	3.48	TRUE	NA	NA
phenylalanine	6418	166.0862	6.86	TRUE	HMDB0000159	C00079
phenylalanine-d8 (IS)	TF37	174.1365	6.84	TRUE	NA	NA
pipecolic acid	8061	130.0863	8.14	TRUE	HMDB0000070	C00408
proline	8209	116.0709	8.27	TRUE	HMDB0000162	C00148
putrescine	9088	89.1079	9.52	TRUE	HMDB0001414	C00134
pyroglutamic acid	7719	130.0499	7.86	TRUE	HMDB0000267	C01879
pyruvate	6679	87.0071419456496	3.65	TRUE	HMDB0000243	C00022
quinolinate	13046	166.013481905477	7.63	TRUE	HMDB0000232	C03722
SDMA	TF11	203.1503	9.8	TRUE	HMDB0003334	NA
sebacate	12113	201.112474279893	6.87	TRUE	HMDB0000792	C08277
serine	7746	106.0503	7.88	TRUE	HMDB0000187	C00065
serotonin	6114	177.1019	6.55	TRUE	HMDB0000259	C00780
sorbitol	2687	181.070645156572	1.93	TRUE	HMDB0000247	C00794
spermidine	TF15	146.1652	10.55	TRUE	HMDB0001257	C00315
Sphingosine 1-Phosphate	10174	378.2423	8.04	TRUE	HMDB0000277	C06124
Stearic acid	16203	283.2649	13.54	TRUE	HMDB0000827	C01530
suberate	12169	173.080782292942	6.91	TRUE	HMDB0000893	C08278
succinate	12534	117.017926791222	7.13	TRUE	HMDB0000254	C00042
