Species,Order,Bodymass,Longevity,Gestationength
Nasua nasua,Carnivora,3775.5,17.5,73
Nasua narica,Carnivora,4578.43,14,78
Bassaricyon gabbii,Carnivora,1250,25,73
Ailurus fulgens,Carnivora,5770.08,19,130
Otocyon megalotis,Carnivora,4098.12,14,68
Nyctereutes procyonoides,Carnivora,4214.99,14,61
Speothos venaticus,Carnivora,6324.54,10.3,68
Cerdocyon thous,Carnivora,5741.66,11,55
Canis adustus,Carnivora,10392.49,10,64
Cuon alpinus,Carnivora,15800,16,61
Canis rufus,Carnivora,22983.17,14,62
Canis latrans,Carnivora,11989.1,18,63
Canis aureus,Carnivora,9658.7,16,63
Canis lupus,Carnivora,31756.51,20,62
Canis simensis,Carnivora,14361.86,12,63.61
Canis mesomelas,Carnivora,8247.3,14,60
Chrysocyon brachyurus,Carnivora,23325,13,64
Lycaon pictus,Carnivora,21999.99,17,72
Vulpes macrotis,Carnivora,4499.97,12,54
Urocyon cinereoargenteus,Carnivora,3833.71,12,57
Vulpes velox,Carnivora,2088,14,55
Vulpes lagopus,Carnivora,3584.37,16.3,52
Vulpes zerda,Carnivora,1317.13,12,51
Vulpes cana,Carnivora,988.5,10,55
Vulpes chama,Carnivora,2919.8,10,51
Vulpes corsac,Carnivora,2615.33,13,53
Vulpes ferrilata,Carnivora,5543.74,10,54.23
Vulpes vulpes,Carnivora,4820.36,12,52
Vulpes pallida,Carnivora,2800.01,10,52
Tapirus indicus,Perissodactyla,311209.19,36.5,396.5
Tapirus bairdii,Perissodactyla,293781.59,29.6,396.24
Tapirus pinchaque,Perissodactyla,156923.4,28.5,398
Tapirus terrestris,Perissodactyla,169496.64,35,398
Ceratotherium simum,Perissodactyla,2285939.43,50,515
Diceros bicornis,Perissodactyla,995940.54,45,474
Dicerorhinus sumatrensis,Perissodactyla,1046156.04,32.7,236
Rhinoceros unicornis,Perissodactyla,1843655.8,47,479
Rhinoceros sondaicus,Perissodactyla,1750000,40,502
Equus zebra,Perissodactyla,282462.13,29.5,362
Equus grevyi,Perissodactyla,408000.35,30,406
Equus quagga,Perissodactyla,400000,40,365
Equus hemionus,Perissodactyla,235248.07,31.6,339
Equus kiang,Perissodactyla,281138.63,30.1,299
Equus caballus,Perissodactyla,403598.53,61,337
Solenodon paradoxus,Eulipotyphla,899.99,11,50
Suncus etruscus,Eulipotyphla,2.26,3,27
Suncus murinus,Eulipotyphla,43.76,2.5,30
Crocidura russula,Eulipotyphla,9.89,2.5,29
Crocidura leucodon,Eulipotyphla,10.88,4,30
Crocidura suaveolens,Eulipotyphla,7.35,4,27
Neomys fodiens,Eulipotyphla,15.26,1.6,20
Neomys anomalus,Eulipotyphla,13.19,2,26
Cryptotis parva,Eulipotyphla,4.97,1.75,21
Blarina hylophaga,Eulipotyphla,14.49,2.75,23
Blarina brevicauda,Eulipotyphla,18.56,3,17
Blarina carolinensis,Eulipotyphla,11.91,2.75,30
Sorex palustris,Eulipotyphla,13.07,1.5,23
Sorex ornatus,Eulipotyphla,5.31,1.5,21
Sorex vagrans,Eulipotyphla,5.99,1.5,20
Sorex fumeus,Eulipotyphla,7.83,1.5,21
Sorex cinereus,Eulipotyphla,4.2,2,19
Sorex alpinus,Eulipotyphla,8.04,1.33,21
Sorex minutus,Eulipotyphla,4.32,1.33,24
Sorex tundrensis,Eulipotyphla,7.65,1.5,28
Sorex araneus,Eulipotyphla,9.18,2,21
Sorex coronatus,Eulipotyphla,9.32,1.67,23
Sorex arcticus,Eulipotyphla,8.19,1.5,17
Echinosorex gymnura,Eulipotyphla,756.53,4.5,37
Erinaceus europaeus,Eulipotyphla,777.95,11.7,30
Paraechinus aethiopicus,Eulipotyphla,352.4,4.5,37
Hemiechinus auritus,Eulipotyphla,322.04,6.8,39
Atelerix albiventris,Eulipotyphla,293.44,11.4,35
Atelerix frontalis,Eulipotyphla,329.12,7,37
Galemys pyrenaicus,Eulipotyphla,60.17,3.5,30
Scapanus orarius,Eulipotyphla,62.13,4,40
Scalopus aquaticus,Eulipotyphla,87.15,3,36
Parascalops breweri,Eulipotyphla,51.11,4,35
Condylura cristata,Eulipotyphla,48.15,2,40
Talpa europaea,Eulipotyphla,87.53,5,28
Dasypus novemcinctus,Cingulata,3949.01,23,133
Zaedyus pichiy,Cingulata,1444.76,9,60
Euphractus sexcinctus,Cingulata,4731.16,18.8,68
Chaetophractus villosus,Cingulata,4372.8,30,67
Tolypeutes matacus,Cingulata,1303.47,36,120
Priodontes maximus,Cingulata,40641.89,15,122
Choloepus hoffmanni,Pilosa,5893.5,32,350
Choloepus didactylus,Pilosa,6646.5,27.8,279
Bradypus tridactylus,Pilosa,4375.8,40,141
Bradypus variegatus,Pilosa,4136.36,40,170.84
Bradypus torquatus,Pilosa,4468.42,20,150
Cyclopes didactylus,Pilosa,263.95,2.3,135
Myrmecophaga tridactyla,Pilosa,29531.83,25,184
Tamandua tetradactyla,Pilosa,4800,9,160
Setifer setosus,Afrosoricida,263.22,10.58,54
Echinops telfairi,Afrosoricida,152.25,13,55
Hemicentetes semispinosus,Afrosoricida,134,2.5,59
Tenrec ecaudatus,Afrosoricida,887.59,4.92,58
Microgale talazaci,Afrosoricida,43.07,5.8,61
Geogale aurita,Afrosoricida,6.69,2.5,63
