Sample	PGE2-d4 (IS)	12-HETE	15-HETE	5-HETE	8.11.14-Eicosatrienoic acid	9-HETE	Adrenic acid	Arachidonic acid	Cholic acid	Deoxycholic acid/Chenodeoxycholic acid	Docosahexaenoic acid	Docosapentaenoic acid	Eicosapentaenoic acid	Gamma-Linolenic acid	Glycochenodeoxycholic acid	Glycocholic acid	Glycolithocholic acid	Glycoursodeoxycholic acid	Linoleic acid	Lithocholic acid	Myristic acid	Oleic acid	Palmitic acid	Palmitoleic acid	Sphingosine 1-Phosphate	Stearic acid	Taurochenodesoxycholic acid	Taurocholic acid	Taurodeoxycholic acid	Taurohyodeoxycholic acid/Tauroursodeoxycholic acid	Taurolithocholic acid	Hyodeoxycholic acid	Myristoleic acid	PGE2	Ursodeoxycholic acid	Glycodeoxycholic acid	glycocholate-d4 (IS)	thymine-d4 (IS)	inosine-15N4 (IS)	2-hydroxyglutarate	3-methyladipate/pimelate	4-hydroxybenzaldehyde	4-pyridoxate	aconitate	adipate	alpha-hydroxybutyrate	alpha-ketoglutarate	beta-hydroxybutyrate	bilirubin	chenodeoxycholate/deoxycholate	cholate	cystathionine	fructose/glucose/galactose	fumarate/maleate	gentisate	glucuronate	glycocholate	glycodeoxycholate/glycochenodeoxycholate	guanine	guanosine	homogentisate	homovanillate	hydroxyphenylacetate	hypoxanthine	indole-3-propionate	indolelactate	indoxylsulfate	inosine	isocitrate	lactate	lactose	lithocholate	malate	nicotinate	orotate	pantothenate	pyruvate	quinolinate	sebacate	sorbitol	suberate	succinate	taurocholate	taurodeoxycholate/taurochenodeoxycholate	thymine	uracil	urate	uridine	VMA	xanthine	phenylalanine-d8 (IS)	valine-d8 (IS)	1-methylhistamine	1-methylnicotinamide	2-deoxyadenosine	2-deoxycytidine	3-hydroxyanthranilic acid	5-HIAA	5-hydroxytryptophan	acetylcholine	adenosine	ADMA	alanine	alpha-glycerophosphocholine	aminoisobutyric acid	anserine	anthranilic acid	arginine	asparagine	aspartate	beta-alanine	betaine	butyrobetaine	carnitine	C2 carnitine	C3 carnitine	C3-DC-CH3 carnitine	C4 carnitine	C4-OH carnitine	C5 carnitine	C5:1 carnitine	C5-DC carnitine	C6 carnitine	C7 carnitine	C9 carnitine	C10:2 carnitine	C12 carnitine	C12:1 carnitine	C14 carnitine	C14:1 carnitine	C14:2 carnitine	C16 carnitine	C16-OH carnitine	C18 carnitine	C18:1 carnitine	C18:1-OH carnitine	C18:2 carnitine	C20 carnitine	C20:4 carnitine	C22:6 carnitine	C24:4 carnitine	C26 carnitine	carnosine	choline	cis-trans-hydroxyproline	citrulline	cotinine	creatine	creatinine	cytosine	dimethylglycine	GABA	glutamate	glutamine	glycine	histamine	histidine	isoleucine	kynurenic acid	leucine	lysine	methionine	methionine sulfoxide	N-carbamoyl-beta-alanine	niacinamide	NMMA	ornithine	phenylalanine	pipecolic acid	proline	putrescine	pyroglutamic acid	SDMA	serine	serotonin	spermidine	taurine	thiamine	threonine	thymidine	trimethylamine-N-oxide	tryptophan	tyrosine	valine
G36438	538877	2031	6017	3508	103737	2968	111029	300114	20834532	15823572	289111	1523249	217040	21057671	2497516	6660034	5070	1513042	10012133	473520	11295	6932895	961336	14510	NA	552844	5535112	4277540	999252	2997695	98695	1194118	NA	211052	78638172	22788408	260555	124233	48269	438855	57618	157350	3262123	26827	57483	158600	229983	138915	NA	17668777	19014701	0	37021118	101883	203911	1895814	699298	432613	97910	54718	20294	46186	15420	1756308	40039	74355	NA	93788	969352	284169	3510782	972941	1849263	541292	632535	1912713	4408	4996	15179	833990	18473	25308794	553130	819502	2480481	5109540	15340	664897	24999	4259679	19224234	14601199	9198	3170496	70294	15545086	1745	4743	1088796	2412067612	144769	15601295	126578393	54079	5927	96589	NA	2952660	45818690	16298	31843082	837288	2412067612	1409530	69740	12898	309622	13601	752835	9180	9613	138535	NA	1083246	118468	3923087	6191	147471	43865	10001	73349	187214	123418	199645	168293	10027	44874	6739	594676	NA	100971	286618	25234	36263	25977	1359189	11934	1080499	2818133	1165528	2177	30274991	1468805	1077566	15668902	82811	829172	395822244	111597	538178827	3523265	200368249	36427146	47803	816663	241651	99683	5423411	169423	6615738	381354	281994	53774627	152340	6156	544714927	471875480	73636787	281213	3767715	2061627	1649438	1226820	3613025
G35462	521521	13792	53110	30468	60927	26920	371569	1340761	13105904	17779694	1067108	639877	224614	32680	119691	201741	9938	54896	458775	997576	19003	1539045	542460	6232	131	1309799	152278	112420	75151	36946	47917	1144848	5009	265692	30670264	2408163	278690	153686	56680	1357273	59806	239875	1238953	8425	197468	105886	355244	485232	NA	14557204	8705751	112	25527591	124058	85176	5702206	17292	19731	221903	123192	12631	128014	21192	2744530	111851	7732	88984	97684	280227	181992	1207553	2556958	1745577	477150	710789	3019295	2234	8222	23580	467753	32081	35708229	89548	55414	4025202	10868504	55750	419172	7631	7120672	19863927	14780834	33153	150911	23844	2403504	1211	165788	1619031	24660914857	377860	52485624	193229037	23702	4680	50449	6782	590379	31900403	23346	25879382	480706	24660914857	3904929	10557	36045	1656080	91	346820	NA	NA	1035687	29685	NA	NA	814774	NA	232344	22260	6840	49335	369662	631529	641420	221483	33666	44966	149581	206287	6534	251194	118082	2844	15830	325556	1428594	4220	4486908	5049397	1288409	15453	16276811	1867809	1482248	27010652	263804	848346	603414545	405393	730159883	4830605	257706358	42817070	161969	509510	83468	152071	7131200	621319	7977713	555330	373352	100276690	215808	101	291491670	278371744	53216645	392280	2088594	1766708	2131159	1626987	4829886
G35961	516856	3084	14934	6666	110577	4696	468313	1259577	16928928	40096	1157742	2047267	216923	1075550	3649009	8730263	4282	1167619	5862901	1827	2772	4722304	312198	7256	229	315647	5736528	10321259	33313	1001293	60581	NA	26429	150235	27411406	68897	296716	145634	64478	822816	68720	839700	3620795	93757	44589	125087	832307	411390	NA	3198193	12458339	0	23438588	114623	77608	1092006	856827	405505	101937	166734	21341	87057	48679	285812	36458	36779	8848	195606	438748	352862	5736237	283	924461	338613	6931267	1903846	3793	5905	16191	1530993	27818	58058966	832801	586959	876419	2756833	1732662	5493039	20588	2536789	26382724	20354505	48079	99225622	35705	3524595	3398	4251	45369	8508138786	176862	127895851	162276579	42914	2878	291218	724	6837109	18413887	19645	10855169	5860047	8508138786	6770991	60971	7233	353155	50162	2476394	199850	924378	190718	268258	153910	24353	1443357	3453	367749	123334	64699	1917882	1352073	985578	420545	1522922	85642	834536	6398	887194	77198	229734	9604	2377	42650	325668	316369	8708	9786353	17048957	153423	61660	18924610	3635134	1366484	25187437	1479739	743720	531678646	542573	716824055	2117374	196909053	25079689	83053	1047343	255092	7450	6272771	54528	10380947	164877	738523	81506961	167949	8883	52132995	238517240	50201581	315271	5435209	6872121	2018005	1250062	6394695
G35972	530059	2991	10823	5149	63816	5829	50819	2374666	12119473	27296	2270273	569536	584013	157398	25165	54041	2972	1938	1061527	799	7141	577393	89098	5441	126	80525	206113	95285	21265	2469	38467	19812	1052	194265	797323	NA	308344	125532	36968	241839	346611	944754	6420387	NA	2461823	115849	922208	144726	NA	58131344	1675043	6	4049422	276011	65445	1116495	23352	77138	40247	13352	15146	193114	9450	2281593	43993	42497	NA	45177	18637	88666	834599	27928870	4828624	405836	1660490	1221900	NA	26170	217992	305228	135876	1337135	292032	250746	5151388	8013749	532035	1134054	12019	5949484	19069671	12588231	949	NA	71266	8465453	2046	6046	1541048	9609275465	106243	16871301	142205161	42452	10483	42534	276	3370834	326959	13142	9178523	5280204	9609275465	3570870	1900	17683	2618	NA	NA	NA	9589	NA	NA	7070	NA	153204	9901	4879	63473	10773	80820	973393	559509	772541	1089321	128322	352557	160118	1497968	322817	57563	213943	8797	40902	107131	371422	27983	169552	54112	485164	7209	214247749	1035836	117627	31926038	105002	786851	247795001	1493789	325549704	2807144	125657247	7576865	351955	443902	25627	113567	3005181	172244	2281882	287553	207118	48907179	126271	69	384313651	117549886	44320903	268737	2279439	1807372	1085095	683077	16576607
G36462	518908	16253	25781	18023	67283	23915	91607	1015087	11336200	17231393	325047	623853	4801784	12175060	2906767	5650506	55185	660744	5317936	1779192	6199	3789859	324118	10048	311	148455	1193425	666848	322033	84501	120921	3821567	NA	191278	21104509	58113327	302928	106843	58543	878065	75035	880808	1897564	14577	164104	225996	370617	262881	NA	15468802	7035137	NA	14577439	263101	63599	2741503	720066	581717	233868	255923	18997	33321	24229	670705	662146	22069	NA	205760	398178	326176	3710347	7426864	5205299	502057	396973	2877129	5185	15363	91952	769376	62208	3316973	218788	180287	2164663	7323826	3960258	4602001	14407	4418172	14495269	14991281	14193	23198	NA	1281456	NA	15624	27283	7629481950	55708	17927829	171147583	5949	5048	4337	NA	903104	9903171	18224	3635419	483041	7629481950	520129	7151	33978	58459	NA	12631	NA	17229	209313	NA	563489	NA	NA	NA	NA	NA	NA	NA	37027	NA	72271	22952	NA	NA	7326	740040	NA	96515	NA	NA	24799	28586	1540472	980	62924	648821	68161	3640	72196713	2062529	1061331	23482531	181602	789887	647846657	NA	770928217	5390528	275936453	42720395	54	36532	146727	38677	5743914	175907	5920029	409878	346102	22552922	210500	384	247558968	8408622	67316445	421337	5266248	3239998	842693	1285038	6289867
G37017	542652	1502	4073	3505	576946	2986	640429	472453	21620722	100188	111841	2093426	32398	438426	403926	856727	2802	397424	7533031	16817	1835	3058547	295913	7601	114	86466	286880	6791166	23347	210074	160513	2171759	NA	153218	83858210	17411	305125	108362	62265	3191130	144564	881882	4165511	348	184396	259698	639963	304786	NA	6402186	44797526	17204	6838851	123402	150138	1516469	343460	245970	219551	85994	22250	141427	11916	1539699	4535	25483	NA	71351	29252	286381	1709111	18086	1746905	754430	3040654	2810049	21420	8034	19594	1309117	58615	4198922	888217	186080	4491319	10052698	3511651	3929518	22993	6555587	19455440	15200953	23309	35426582	49778	12051446	685	63788	1046280	21267833342	248125	17397557	324357052	10957	14849	18482	269	448991	47682540	19210	18143638	446119	21267833342	565065	10540	133211	280	13	353727	NA	17704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16730	NA	37065	5697	998	646	58487	1453461	NA	353096	NA	5170	7150	273559	3422500	17521	70806	70773	615702	12638	52024997	3130788	2214471	44608505	384181	1012872	1436097892	470076	1689211207	8511123	630787568	55457099	14053	315300	108254	33110	16958501	324201	18192891	1659987	600477	127959127	352211	4073	1058966179	816377690	180034307	858351	11356094	1646964	4615634	4093497	8672115
G36534	544208	865	6259	1970	326472	1608	244284	383445	3424902	21040652	502717	2420872	104710	117322	1033407	1437942	177465	418115	1856985	2651094	34649	3359998	585493	11025	62	301081	297284	3808174	783713	287957	398184	1508924	NA	36911	36121319	15080536	312971	125705	69638	473245	58158	989838	4895389	NA	326038	282241	420947	172533	NA	19642156	2666915	0	29337383	98727	182441	714296	208357	256884	430260	110538	14033	82420	6807	322222	41991	42094	403	94928	13790	156463	1980677	14925332	375678	728088	430131	4196842	2538	3409	53825	140237	25746	9312382	537737	236235	3381560	8440069	3919071	4278277	39904	4094308	20458820	17261629	2754	6904884	992865	4866347	4735	46596	315005	5636181222	1432776	2653036	242449126	116	11251	2127	129	1301860	38469025	3190	1129643	532064	5636181222	1019191	8947	6131	58868	NA	44187	NA	31421	655546	NA	37214	NA	11624	NA	NA	17749	NA	NA	390216	10673	393921	193701	11122	32730	44195	387596	49627	378227	73266	1107	3995	1376	944538	24049	11828	11064	349015	2881	16950241	1179060	1280039	32215648	680355	1628692	1189363747	35715	1410378674	7803420	482953295	28738304	41723	787894	41904	31601	13320047	258670	10775649	177858	207487	123537000	250044	4101	248570330	527810037	150793137	575540	15051911	2783416	4508930	2668409	5136757
G35983	532449	1046	3956	1385	22125	1593	83712	63422	8367234	37997	1366449	7314326	341156	106110	2142190	2596044	949	1173759	12888091	6664	15057	14888758	661404	109126	149	727517	3995635	4089261	21129	1440746	47496	NA	239	92474	47589703	32453	308832	159977	60129	2510245	74015	407102	2655868	46912	55619	314311	587720	201670	NA	2611927	7002001	0	50800406	194788	238441	6423468	244263	264378	37294	84471	8613	50444	24444	1115807	65350	51493	12133	172862	420771	332636	2223883	7939	2050189	416516	230273	1393090	7194	3483	22263	469464	30393	48404410	480068	422735	2132462	3639294	88057	2027725	8249	3524399	19311701	15514545	53899	11519938	26333	5403396	1330	37059	1711588	4498791064	51325	49126353	145156213	1227724	3205	1414120	NA	15336353	4646489	13444	25399997	475851	4498791064	1258917	7121	21403	NA	NA	10437	191	109629	20503	NA	198355	NA	NA	NA	NA	NA	NA	NA	25178	6231	32314	8024	NA	NA	11767	677480	NA	99685	NA	62436	60933	18183	1127594	5928	116665	1258049	119055	3674	23701937	2210125	2493989	21136891	2735413	1149357	513556895	31494	750389727	4283354	267930201	28029697	33262	489193	201166	65860	8264071	163357	4431957	245006	402444	214681817	285691	51959	408309184	285949171	43545421	339582	6146815	1237667	2911599	1776382	4937000
G36459	564951	297	1600	1246	158390	775	101512	171606	9812045	19464	150851	450629	28784	94085	191226	200905	600	53513	251045	4700	3988	792471	352165	2906	43	178458	146139	479761	16597	66515	53349	NA	NA	10544	30189264	NA	305504	124921	70823	3924485	49889	1516476	1638229	4104	73194	682929	848350	492501	NA	1288365	12592347	2665	20443102	463234	624267	6580161	25711	32613	67016	34110	58177	122468	23404	677009	311464	417463	NA	2350	130617	796813	1284549	2235	4483860	646424	38378	1777411	17109	15797	17139	8143945	15984	5109738	291013	105631	2150154	4362659	230689	341454	94017	2725338	22141738	13702389	1563	NA	43360	15011269	2113	325390	138219	4980175804	54241	19025948	177363296	15128	4463	13104	1556	2354255	558928	21560	15935683	9068142	4980175804	1681007	5127	105161	68204	NA	NA	NA	NA	55289	NA	27331	NA	325404	400	NA	48074	1193	51853	991515	321962	511437	756135	88504	185964	122190	1224120	114258	195364	24413	33148	7527	186903	930868	2061	98103	22004	2079599	5319	22625738	2173767	1004271	21537898	194960	978303	547972075	1199844	701210405	8736847	249618326	27658187	241183	188856	110566	35722	6419863	897143	8210903	419004	419914	133267849	204138	9020	102942800	455618897	133942892	367945	8052938	1768730	2253877	1398806	19927702
G35365	510730	3842	11287	7323	629124	6883	334965	1874559	20154205	69209	1335434	1719291	113345	99944	332325	344376	10633	418519	450640	21003	1670	1024805	148827	4749	50	111441	1539809	1622655	40969	881710	51995	1538153	9895	203258	68386487	NA	297895	109643	27538	2892061	146103	1027979	1019591	2040	535946	120124	448493	112519	629	10148794	32079702	4854	10634696	349533	44160	3177962	87017	122080	72861	20400	16687	155367	4194	1473614	195269	44988	NA	NA	184435	812517	1701695	32598	5020938	368701	1549913	7599628	39863	23579	27005	883069	56336	44008916	615404	375980	3352489	6002056	206180	22001	12765	5387586	20614524	15704116	577561	16095	52644	3045147	2707	23585	789263	17111808401	97808	22671055	235825171	31691	23215	6113	1240	370340	2864822	31360	93149253	562864	17111808401	6871721	34036	34874	48215	191	2018804	NA	29374	16156	NA	1764449	NA	923110	12738	NA	312269	30420	199887	3667800	2260490	1378632	1835518	241086	393263	133467	886712	379461	240254	308966	3483	35453	52012	1187991	10315	214619	101903	1275719	18201	12162375	2976425	1130893	33189679	10271793	837041	712407809	1098130	907155276	3470214	309011980	45628807	572334	420131	169323	156812	8495857	1499598	8497934	968377	625557	123780805	192402	3020	271003474	1266817259	104722346	479182	5882806	1916474	2378024	2007684	5158136
G35976	488728	2868	6896	15433	492390	3596	298557	592179	12235469	30225	735034	2981018	98682	4245887	79712	107108	3183	106577	8664529	5043	2190	4629888	331602	7453	121	159758	490087	318729	7482	105972	61090	NA	6808	137152	44107920	NA	284171	129788	58016	6051712	72587	140572	1678397	33276	46264	111283	610629	117465	NA	1847062	8755979	0	24781712	139615	100326	4256431	14873	10638	21476	19138	21261	300923	17771	1522707	369150	106616	NA	18687	371819	1089365	1774009	1287	1931135	601449	1105014	4187297	19439	6626	23555	656015	25788	41495963	199048	89042	5229304	6821698	192650	290896	36698	5662585	23360878	16880720	7697	31817561	33938	4271265	1714	85568	1117457	12264203967	116223	51736445	349071684	210536	4669	86680	161	2435170	54874052	82116	24733953	2072306	12264203967	5369292	3687	37790	1394914	NA	204194	NA	19982	1071284	NA	169867	NA	347185	659	9675	43935	10120	476132	326053	386380	1534967	312879	54232	93269	768506	1440916	28201	225247	NA	12459	41879	825189	3736473	5656	781735	340940	338350	15798	28801431	6134409	1346540	53078976	145984	4841373	792318626	935580	996003955	6750211	392513595	44132033	908305	482850	170915	172363	10780343	453597	20136914	469691	1213738	84827781	271538	14702	701023227	387085420	106991733	502349	1195132	1572334	3206954	2138395	9363681
G36440	516718	893	2741	2887	173509	749	296958	333195	4229204	17380510	129134	2839839	52813	3609455	809254	2015875	56986	926407	9937013	1434943	3897	10222316	642088	11666	NA	316430	275227	1033158	373307	160290	427709	2107704	NA	8217	39051247	8193056	285264	110081	45830	1333498	194004	1077873	2696624	12024	348415	100644	1171798	102163	NA	12764061	4302280	936	14255950	67768	168280	2639167	195837	172009	109640	63799	30993	191529	22980	1443533	70450	13477	2681	108407	390490	182241	4624903	5007958	1113855	786709	1418068	3086725	30668	15853	78679	1152989	84711	5317367	211454	129735	6314742	7906709	2802584	1476463	34025	7341666	20511577	16395213	10902	26519861	92829	16797418	1817	180669	674522	10301893058	208067	31373834	320867008	2683	14826	2527	219	6315345	26743270	34902	65851896	437249	10301893058	878274	7085	23890	6261	NA	640414	NA	25989	12395	NA	2255189	NA	NA	NA	NA	NA	NA	NA	37004	22795	110095	25142	NA	NA	37077	1984590	NA	305717	34735	697	36217	35667	2651804	14418	1597695	3549205	305683	7688	60762844	3972676	2211340	44055790	548006	1422217	1064383833	95438	1280278922	9116794	494079183	50280495	6951	456095	186912	93610	12370813	979168	10777257	419255	785472	104117384	257823	5489	1368702464	603812592	202612978	693110	7518395	2200190	3370389	2599744	6059018
G36896	539359	1751	8651	4512	196546	5655	202888	734582	24475019	63322	223045	1635812	66993	967210	151705	421091	1343	210762	9128809	67017	3838	2818067	369122	9452	64	97770	405683	7035739	30879	976693	617431	3364038	NA	144428	117690768	10466	289293	130753	58871	640867	274453	865630	3994529	194	191163	45084	358583	145889	NA	9442247	57851597	2	6297140	126923	139176	1510937	212001	128869	126528	102389	25045	212904	12003	1324549	8269	14164	NA	97155	13349	328686	2897917	127755	1145605	521514	1927691	2191303	13809	7976	43550	578796	69888	3002648	1124891	240029	3494765	7953849	2156488	2038454	50368	6225609	19823206	15605302	6106	22880760	112666	4094625	4080	80096	151935	16147280673	206983	20262938	261186637	701	19346	7189	246	393639	22677882	12928	3533098	426795	16147280673	608129	9202	69352	NA	NA	369751	NA	109475	23835	NA	7669	NA	NA	NA	NA	NA	NA	NA	26590	NA	10396	NA	NA	2282	NA	552588	NA	388289	NA	337	5046	20594	2815766	64539	15820	14708	195910	15671	23036877	2296710	1513480	37469569	139742	893476	1270290985	26538	1458041763	6965413	549030268	43835719	42911	304051	277565	42287	14455600	353838	10963242	915041	466630	124707387	282874	NA	506356368	1460177206	208102464	710877	12911776	2190375	4138454	3490681	7632840
G36461	544608	239	942	704	109854	759	111756	257444	7462021	9476153	74799	887572	17892	2171166	204035	753564	5057	253337	8348341	348104	1379	2972950	337835	6949	NA	389301	66089	1189581	93147	26708	44976	778633	762	162901	40551250	2585394	295423	127498	59318	536079	86499	217806	1069885	34481	108883	131108	401794	109979	NA	4280039	10101321	1309	17536990	302012	344297	5176180	77777	35307	88910	55507	29045	148880	11094	1617459	36349	6630	10577	104310	527767	441668	2080657	670222	3402846	540488	586045	3113943	8617	6392	20276	318051	26793	6407252	241127	41852	3718299	5767441	631177	847811	27491	5696597	21078150	16535234	11579	12532387	70434	12825841	1950	16344	153554	6482439356	125328	26949961	170153225	613	12215	2769	NA	5584892	1515379	77429	32427645	410203	6482439356	1865844	5668	62572	318391	NA	159382	536	18931	21264	NA	1150693	541	1138524	NA	6376	20751	NA	8447	503453	297082	314006	507116	53191	159756	50800	516608	1561	260735	10414	NA	22317	34557	2367257	18418	158778	561541	702105	7272	63853526	2817784	1742835	29994987	108748	1186803	713849519	277846	868900268	5221663	312619556	36082119	81094	464446	157374	27552	7995717	161680	7519347	363578	551245	23267923	232639	7786	119154516	298393490	42355667	472791	5857806	1828169	2545976	1718045	3947583
G36473	535868	964	2863	2993	231511	2133	318728	296756	16474141	94219	241473	1698688	50001	644132	867789	601354	2055	881337	9213887	7256	7528	6519103	702550	10754	141	297626	105799	81137	18301	16877	77263	NA	NA	186999	72546581	NA	302665	145192	49900	207821	94976	658620	1952699	698	109168	323633	400992	300215	NA	4765705	32154174	954	31356052	88573	63196	3348275	101300	130840	147188	63912	9225	96364	15384	1253713	2112	55659	NA	71036	81754	420069	4097021	NA	433918	391118	1301255	2848154	9376	3423	42032	1646885	19395	65848904	198467	83472	3974705	6552309	1531213	1922514	13401	5610451	21841887	16834694	16429	9225087	44929	7816588	2520	34555	544772	6407072406	196056	38810914	204244985	5678	7468	436	NA	6279035	81459963	16013	54552044	383593	6407072406	977928	3900	321156	126000	NA	56033	NA	6904	53747	NA	34343	NA	750613	462	NA	25477	NA	5627	386339	97520	275257	251711	14934	56373	20964	877979	23161	266008	37867	NA	44436	41849	1792354	12453	43050	16497	209181	4005	33184800	1969551	1423769	29194529	95710	701508	808391350	345103	1057514339	4580574	331589886	36147232	180514	417296	103740	37065	10040807	181895	9169307	722476	375040	55976423	232872	1103	398815750	7661966	42103434	508915	7998527	1807885	3373681	1977835	5413672
G35390	518732	137020	241234	176589	2100396	354384	3599939	10579693	11513219	16315	15122622	5190016	1302302	257798	5338	28081	37	NA	6276393	512	42786	18377044	3945619	372076	231	4450742	358190	428645	35103	10314	34163	NA	257261	182945	194471	NA	253705	122422	48284	12149234	15326	788974	51424	3539963	273063	285800	1086473	86038	51549	1815881	5352343	234713	39073928	88139	103	4349354	49122	2391	270006	13461	236	6576461	3902	958307	10	1792098	NA	NA	74340338	21625639	408864	NA	1042446	257018	222020	183561	157830	5168	7694	10278896	6578	11258303	73548	210738	529543	4830283	678829	129987	5953	2318527	18580734	16908469	1051	196925	29555	2245198	1352	NA	437025	3073226773	150459	60822026	521369463	540600	24889	NA	NA	1435022	5890538	17733	2656204	9461605	3073226773	9459552	958436	1073856	43779	41976	1534821	37513	376447	544887	9859	22127	38200	560280	2795423	10900456	2968877	3125413	30216032	6020037	9648862	1920572	10503886	432348	2707538	51086	958337	187424	19925	41486	54297	108207	139046	375183	NA	1063684	350326	8081040	38921	389849302	1140990	53628	27897364	67545	1450547	162804835	1589309	251201403	2321897	96232249	11174416	8654	12107966	26701	127501	2198766	415768	11013256	150819	213726	56740337	165917	170	44804751	356774122	98803191	764628	3137811	2826589	1010948	460906	1339598
G36474	525767	2440	8644	5391	127287	4664	124772	210645	1071705	13988316	118933	834243	30235	120892	234228	159551	57496	14659	2474563	1616209	3971	2906491	241588	8735	683	195549	165556	349628	310680	24077	440132	2510925	NA	261399	3033265	3566431	316192	116338	58594	672737	280780	1684420	3488836	2861	318512	142682	692760	211150	NA	8236481	2835629	1740	10205242	645017	52643	5196148	21782	62899	130392	111311	16339	180271	10326	1104555	501645	24848	NA	144272	131148	253305	2182151	7433143	11874400	658090	1988585	6235084	15333	17616	59771	461450	101492	2571848	176570	133812	5062139	10371418	4909136	2295335	35099	5960120	21373974	16796200	15816	39818	47462	3690313	3992	74486	712385	17214336509	142511	22919134	314669849	951	12043	2011	24541	1217769	5275574	27525	9152878	359209	17214336509	1870599	17505	33919	99226	NA	165817	NA	56181	37050	NA	1867582	NA	8900	NA	NA	NA	NA	NA	14749	NA	43387	3429	NA	NA	111138	733099	NA	291562	73117	4081	8111	16980	2389010	14182	24261	22815	259541	7011	6361927	4131286	1599513	44924000	595625	1546637	1149987016	558545	1337240578	10588818	510633307	65279828	25942	545923	81984	97348	12530116	583322	10220898	45191	861312	7703937	338777	1157	842500071	545657023	195685419	779564	12253252	2025843	3243278	2730974	6629428
G36472	547871	531	1482	1354	146080	1000	178039	364100	17651918	36500	264519	1914835	88355	159901	269035	575552	1863	324333	4992572	7796	129891	4915513	865869	11561	189	453214	89940	411009	9708	45676	30282	NA	NA	212594	85715491	NA	303571	143727	42251	302028	69214	208002	2443469	98	80555	75855	184132	127759	NA	5129160	35923726	NA	17181411	78562	49294	4775032	94413	52791	19423	33639	16823	245817	25321	1380078	64758	107027	NA	43953	40322	558726	4127558	11613	702087	448733	344258	1847526	20567	3354	16738	293725	14578	43057616	229061	16190	4655313	5651765	644044	367417	22298	5408817	19438929	17093600	7638	9030398	66396	6595365	2804	30510	822049	5320658790	87338	13884764	143724084	NA	5775	NA	87	5226680	48934654	13877	27487723	390682	5320658790	1325424	4068	135547	61685	NA	56446	NA	36718	5545	NA	320868	NA	2205973	NA	NA	6208	NA	5762	124648	20899	122625	68547	5540	11023	23186	536094	9838	115309	NA	NA	8330	12264	1170713	7283	25274	20350	141306	260	8294289	1589880	1024097	21953683	88629	836466	606565989	338438	749393687	3828203	267439611	22935046	31063	441212	33131	51040	6724928	326865	5850159	410026	285474	50133211	163427	1425	306382365	324743116	49181188	358042	3359439	2385633	2237324	1437010	3654639
G36875	521583	2349	9949	3520	120363	179	280699	1101992	3109017	26048172	2290946	3738977	215907	70002	78502	82115	113145	33952	6052848	3573365	16068	10005899	657664	20524	219	153584	58885	140319	29199	21557	1007945	10698068	NA	41195	7629045	8715270	292496	117945	40210	675368	536762	2330161	12279839	NA	1076286	118631	910885	152494	NA	51422113	4992386	113	5834759	378635	95291	765374	69480	76760	45744	33040	15150	252449	8351	2714040	35672	19588	826	16718	33740	93624	1387220	23109668	7582078	484355	4881253	1565642	6956	18733	532319	404883	360738	2060458	265855	123536	7063417	10817756	1430947	623336	18589	7713087	18606027	15896832	2045	NA	24325	1242472	40582	54892	775983	7663516190	85424	7483172	226853948	1502	33873	3754	10860	549005	218642	2143	3543214	362594	7663516190	1058384	7055	18596	NA	41	384463	NA	8008	8784	11465	1013583	NA	11845	NA	5355	NA	NA	NA	26848	5846	151084	2624	NA	NA	46472	877862	NA	298296	434443	1474	NA	3162	798395	6081	15270	5003	180236	7471	12074741	1114837	544200	17594255	602899	589171	934382859	594378	1098496594	5210566	375314250	26922011	44181	676452	74226	102947	9539537	1550585	8815532	38298	208477	2522589	144013	5643	1848377820	4059651	399818897	470968	3467112	1289278	2319744	1886466	4327640
G36554	513056	3978	7991	3590	30993	13209	41267	391831	2517700	4134567	859266	127283	46728	242079	195339	277907	2152	30006	660714	458502	2092	386805	216768	3370	91	176539	416237	1952841	73237	36799	21894	336330	741	163634	13442866	140031	303843	136419	69301	16929023	113614	1212399	1208580	21465	155794	556843	779465	939308	NA	3350198	1511020	NA	35850028	325664	5330	4023564	18699	17729	49499	1787	17085	1699165	27102	922620	NA	594588	NA	NA	1317817	1707951	4802313	1018778	5266347	395574	5235757	923666	12684	23409	8766	12884753	14649	24467449	199086	65245	1021090	3152067	57793	172839	355957	2039876	17071480	15572332	1493	NA	16236	2051787	2228	10903	15231	13993963231	87996	15432851	186764377	8977	3363	NA	NA	396981	28639	4282	3980210	319039	13993963231	3140361	11600	21888	92687	16	9034	8104	NA	1474638	128784	NA	3147	114866	2917	31211	58982	9571	7120	897529	1025022	524444	555137	125734	194014	19582	390486	86940	223167	68566	NA	9177	214886	362071	29892	281059	93014	3987599	6122	34926184	2236104	346214	8847766	86233	639765	239356921	779340	323728013	987783	83074628	17357362	50280	255416	94496	17732	2402816	991470	13664837	271261	427600	57918343	85176	3453	45268912	459068511	54981248	179252	2796229	2362949	859008	627390	5184276
